Rank,Player,Team,2019-20,2020-21,2021-22,Signed Using,Guaranteed
1,stephen curry\curryst01,gsw,40231758.0,43006362.0,45780966.0,bird rights,129019086.0
2,chris paul\paulch01,okc,38506482.0,41358814.0,44211146.0,bird rights,79865296.0
3,russell westbrook\westbru01,hou,38178000.0,41006000.0,43848000.0,bird rights,123032000.0
4,john wall\walljo01,was,37800000.0,40824000.0,43848000.0,bird rights,122472000.0
5,james harden\hardeja01,hou,37800000.0,40824000.0,43848000.0,bird rights,122472000.0
6,lebron james\jamesle01,lal,37436858.0,39219565.0,41002273.0,cap space,76656423.0
7,kevin durant\duranke01,brk,37199000.0,39058950.0,40918900.0,sign and trade,117176850.0
8,blake griffin\griffbl01,det,34234964.0,36595996.0,38957028.0,bird rights,70830960.0
9,kyle lowry\lowryky01,tor,33296296.0,30000000.0,11534705.223300971,bird rights,63296296.0
10,paul george\georgpa01,lac,33005556.0,35450412.0,37895268.0,maximum salary,68455968.0
11,klay thompson\thompkl01,gsw,32742000.0,35361360.0,37980720.0,bird rights,189903600.0
12,jimmy butler\butleji01,mia,32742000.0,34379100.0,36016200.0,sign and trade,103137300.0
13,kemba walker\walkeke02,bos,32742000.0,34379100.0,36016200.0,sign and trade,103137300.0
14,kawhi leonard\leonaka01,lac,32742000.0,34379100.0,36016200.0,cap space,67121100.0
15,gordon hayward\haywago01,bos,32700690.0,34187085.0,11534705.223300971,cap space,32700690.0
16,mike conley\conlemi01,uta,32511623.0,34504132.0,11534705.223300971,cap space,54938006.0
17,kyrie irving\irvinky01,brk,31742000.0,33329100.0,34916200.0,cap space,136490600.0
18,tobias harris\harrito02,phi,31034483.0,33517241.0,36000000.0,bird rights,180000000.0
19,khris middleton\middlkh01,mil,30603448.0,33051724.0,35500000.0,bird rights,137103448.0
20,paul millsap\millspa01,den,30500000.0,9384835.395415472,11534705.223300971,cap space,30500000.0
21,damian lillard\lillada01,por,29802321.0,31626953.0,43750000.0,1st round pick,257429274.0
22,kevin love\loveke01,cle,28900000.0,31300000.0,31300000.0,bird rights,120400000.0
23,nikola vučević\vucevni01,orl,28000000.0,26000000.0,24000000.0,bird rights,100000000.0
24,al horford\horfoal01,phi,28000000.0,27500000.0,27000000.0,cap space,97000000.0
25,demar derozan\derozde01,sas,27739975.0,27739975.0,11534705.223300971,cap space,27739975.0
26,cj mccollum\mccolcj01,por,27556959.0,29354152.0,30864198.0,1st round pick,156911111.0
27,joel embiid\embiijo01,phi,27504630.0,29542010.0,31579390.0,1st round pick,122242800.0
28,andrew wiggins\wiggian01,gsw,27504630.0,29542010.0,31579390.0,1st round pick,122242800.0
29,kristaps porziņģis\porzikr01,dal,27285000.0,29467800.0,31650600.0,bird rights,122236800.0
30,d'angelo russell\russeda01,min,27285000.0,28649250.0,30013500.0,sign and trade,117325500.0
31,otto porter\porteot01,chi,27250576.0,28489239.0,11534705.223300971,bird rights,27250576.0
32,devin booker\bookede01,pho,27250000.0,29430000.0,31610000.0,1st round pick,158050000.0
33,karl-anthony towns\townska01,min,27250000.0,29430000.0,31610000.0,1st round pick,155870000.0
34,bradley beal\bealbr01,was,27093019.0,28751775.0,34502130.0,cap space,90346924.0
35,anthony davis\davisan02,lal,27093019.0,28751775.0,11534705.223300971,1st round pick,27093019.0
36,andre drummond\drumman01,cle,27093019.0,28751775.0,11534705.223300971,cap space,27093019.0
37,hassan whiteside\whiteha01,por,27093018.0,9384835.395415472,11534705.223300971,cap space,27093018.0
38,nikola jokić\jokicni01,den,26573595.0,28542009.0,30510423.0,bird rights,118104864.0
39,jrue holiday\holidjr01,nop,26131111.0,26131111.0,27020000.0,bird rights,52262222.0
40,lamarcus aldridge\aldrila01,sas,26000000.0,24000000.0,11534705.223300971,cap space,50000000.0
41,steven adams\adamsst01,okc,25842697.0,27528090.0,11534705.223300971,1st round pick,53370787.0
42,giannis antetokounmpo\antetgi01,mil,25842697.0,27528090.0,11534705.223300971,1st round pick,53370787.0
43,marc gasol\gasolma01,tor,25595700.0,9384835.395415472,11534705.223300971,bird rights,25595700.0
44,nicolas batum\batumni01,cho,25565217.0,27130434.0,11534705.223300971,cap space,25565217.0
45,chandler parsons\parsoch01,atl,25102511.0,9384835.395415472,11534705.223300971,1st round pick,25102511.0
46,rudy gobert\goberru01,uta,25008427.0,26525281.0,11534705.223300971,1st round pick,51533708.0
47,harrison barnes\barneha02,sac,24147727.0,22215909.0,20284091.0,bird rights,85000000.0
48,serge ibaka\ibakase01,tor,23271604.0,9384835.395415472,11534705.223300971,cap space,23271604.0
49,danilo gallinari\gallida01,okc,22615559.0,9384835.395415472,11534705.223300971,sign and trade,22615559.0
50,victor oladipo\oladivi01,ind,21000000.0,21000000.0,11534705.223300971,1st round pick,42000000.0
51,malcolm brogdon\brogdma01,ind,20000000.0,20700000.0,21700000.0,sign and trade,85000000.0
52,terry rozier\roziete01,cho,19894737.0,18900000.0,17905263.0,sign and trade,56700000.0
53,aaron gordon\gordoaa01,orl,19863636.0,18136364.0,16409091.0,bird rights,54409091.0
54,zach lavine\lavinza01,chi,19500000.0,19500000.0,19500000.0,cap space,58500000.0
55,kent bazemore\bazemke01,sac,19269662.0,9384835.395415472,11534705.223300971,cap space,19269662.0
56,tyler johnson\johnsty01,pho,19245370.0,9384835.395415472,11534705.223300971,1st round pick,19245370.0
57,goran dragić\dragigo01,mia,19217900.0,9384835.395415472,11534705.223300971,bird rights,19217900.0
58,jeff teague\teaguje01,atl,19000000.0,9384835.395415472,11534705.223300971,cap space,19000000.0
59,evan turner\turneev01,min,18606557.0,9384835.395415472,11534705.223300971,cap space,18606557.0
60,draymond green\greendr01,gsw,18539130.0,22246956.0,24026712.0,bird rights,90619267.0
61,tristan thompson\thomptr01,cle,18539130.0,9384835.395415472,11534705.223300971,bird rights,18539130.0
62,tim hardaway\hardati02,dal,18150000.0,18975000.0,11534705.223300971,cap space,18150000.0
63,myles turner\turnemy01,ind,18000000.0,18000000.0,18000000.0,1st round pick,72000000.0
64,julius randle\randlju01,nyk,18000000.0,18900000.0,19800000.0,cap space,40900000.0
65,gary harris\harriga01,den,17839286.0,19160714.0,20482143.0,1st round pick,57482143.0
66,allen crabbe\crabbal01,min,17818456.0,9384835.395415472,11534705.223300971,1st round pick,17818456.0
67,derrick favors\favorde01,nop,17650000.0,9384835.395415472,11534705.223300971,bird rights,17650000.0
68,reggie jackson\jacksre01,det,17286956.0,9384835.395415472,11534705.223300971,1st round pick,17286956.0
69,andre iguodala\iguodan01,mia,17185185.0,15000000.0,15000000.0,bird rights,32185185.0
70,bojan bogdanović\bogdabo02,uta,17000000.0,17850000.0,18700000.0,cap space,73100000.0
71,evan fournier\fournev01,orl,17000000.0,17000000.0,11534705.223300971,cap space,17000000.0
72,bismack biyombo\biyombi01,cho,17000000.0,9384835.395415472,11534705.223300971,cap space,17000000.0
73,clint capela\capelca01,atl,16456522.0,17500000.0,18543478.0,bird rights,72086957.0
74,gorgui dieng\dienggo01,mem,16229213.0,17287640.0,11534705.223300971,1st round pick,33516853.0
75,ricky rubio\rubiori01,pho,16190476.0,17000000.0,17809524.0,cap space,51000000.0
76,jonas valančiūnas\valanjo01,mem,16000000.0,15000000.0,14000000.0,bird rights,45000000.0
77,brandon knight\knighbr03,det,15643750.0,9384835.395415472,11534705.223300971,bird rights,15643750.0
78,eric bledsoe\bledser01,mil,15625000.0,16875000.0,18125000.0,bird rights,54525000.0
79,kelly oubre\oubreke01,pho,15625000.0,14375000.0,11534705.223300971,bird rights,30000000.0
80,dennis schröder\schrode01,okc,15500000.0,15500000.0,11534705.223300971,1st round pick,31000000.0
81,ian mahinmi\mahinia01,was,15450051.0,9384835.395415472,11534705.223300971,cap space,15450051.0
82,james johnson\johnsja01,min,15349400.0,16047100.0,11534705.223300971,cap space,15349400.0
83,marvin williams\willima02,cho,15006250.0,9384835.395415472,11534705.223300971,1st round pick,15006250.0
84,bobby portis\portibo01,nyk,15000000.0,15750000.0,11534705.223300971,cap space,15000000.0
85,marcus morris\morrima03,lac,15000000.0,9384835.395415472,11534705.223300971,cap space,15000000.0
86,danny green\greenda02,lal,14634146.0,15365854.0,11534705.223300971,cap space,30000000.0
87,cody zeller\zelleco01,cho,14471910.0,15415730.0,11534705.223300971,1st round pick,29887640.0
88,eric gordon\gordoer01,hou,14057730.0,16869276.0,18218818.0,cap space,68714184.0
89,mason plumlee\plumlma01,den,14041096.0,9384835.395415472,11534705.223300971,cap space,14041096.0
90,rudy gay\gayru01,sas,14000000.0,14000000.0,11534705.223300971,early bird rights,28000000.0
91,j.j. redick\redicjj01,nop,13486300.0,13013700.0,11534705.223300971,cap space,26500000.0
